"Player";"Short Name";"Player ID";"Birthdate";"Team ID";"Match";"Match ID";"Date";"Competition";"Competition ID";"Season";"Season ID";"Competition Edition ID";"Position";"Position Group";"Minutes";"Physical Check Passed";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"Time to HSR";"Explosive Acceleration to Sprint Count";"Time to Sprint";"PSV-99";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"16";"KV Mechelen v KSV Cercle Brugge";"1732575";"2024-09-22";"BEL - Pro League";"16";"2024/2025";"95";"873";"CF";"Center Forward";"69.88";"True";"7743.0";"110.8";"940.0";"593.0";"69.0";"321.0";"21.0";"914.0";"90.0";"86.0";"9.0";"59.0";"24.0";"7.0";"0.75";"6.0";"1.44";"31.0";"9971.91";"110.8";"1210.59";"763.7";"88.86";"413.4";"27.05";"1177.1";"115.91";"110.76";"11.59";"75.98";"30.91";"9.02";"7.73"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"16";"KV Mechelen v Royale Union Saint-Gilloise";"1835409";"2024-11-02";"BEL - Pro League";"16";"2024/2025";"95";"873";"CF";"Center Forward";"73.35";"True";"8628.0";"117.63";"1179.0";"605.0";"64.0";"307.0";"16.0";"912.0";"80.0";"89.0";"7.0";"77.0";"18.0";"6.0";"0.64";"3.0";"1.14";"31.6";"10586.5";"117.63";"1446.63";"742.33";"78.53";"376.69";"19.63";"1119.02";"98.16";"109.2";"8.59";"94.48";"22.09";"7.36";"3.68"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"16";"KV Mechelen v K Beerschot VA";"1876091";"2024-11-24";"BEL - Pro League";"16";"2024/2025";"95";"873";"CF";"Center Forward";"80.07";"True";"8829.0";"110.27";"1260.0";"681.0";"77.0";"355.0";"23.0";"1036.0";"100.0";"97.0";"9.0";"72.0";"17.0";"5.0";"0.61";"3.0";"1.13";"30.8";"9924.35";"110.27";"1416.32";"765.49";"86.55";"399.04";"25.85";"1164.53";"112.41";"109.03";"10.12";"80.93";"19.11";"5.62";"3.37"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"16";"KV Mechelen v Standard de Liège";"1936035";"2024-12-26";"BEL - Pro League";"16";"2024/2025";"95";"873";"CF";"Center Forward";"75.22";"True";"8997.0";"119.61";"1412.0";"550.0";"60.0";"221.0";"14.0";"771.0";"74.0";"107.0";"9.0";"80.0";"22.0";"7.0";"0.62";"1.0";"1.25";"28.0";"10765.3";"119.61";"1689.52";"658.1";"71.79";"264.44";"16.75";"922.53";"88.54";"128.03";"10.77";"95.72";"26.32";"8.38";"1.2"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"16";"KSV Cercle Brugge v KV Mechelen";"1964899";"2025-01-12";"BEL - Pro League";"16";"2024/2025";"95";"873";"CF";"Center Forward";"100.28";"True";"10617.0";"105.87";"1312.0";"637.0";"79.0";"461.0";"23.0";"1098.0";"102.0";"109.0";"11.0";"81.0";"26.0";"8.0";"0.57";"6.0";"1.85";"31.3";"9528.3";"105.87";"1177.46";"571.68";"70.9";"413.73";"20.64";"985.41";"91.54";"97.82";"9.87";"72.69";"23.33";"7.18";"5.38"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"16";"KV Mechelen v KRC Genk";"1973019";"2025-01-18";"BEL - Pro League";"16";"2024/2025";"95";"873";"CF";"Center Forward";"80.18";"True";"9135.0";"113.93";"978.0";"555.0";"68.0";"301.0";"22.0";"856.0";"90.0";"101.0";"12.0";"87.0";"18.0";"9.0";"0.78";"4.0";"1.44";"29.9";"10253.38";"113.93";"1097.73";"622.95";"76.33";"337.85";"24.69";"960.8";"101.02";"113.37";"13.47";"97.65";"20.2";"10.1";"4.49"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"16";"RSC Anderlecht v KV Mechelen";"1986693";"2025-01-26";"BEL - Pro League";"16";"2024/2025";"95";"873";"CF";"Center Forward";"83.83";"True";"9304.0";"110.98";"1129.0";"618.0";"78.0";"419.0";"20.0";"1037.0";"98.0";"112.0";"14.0";"83.0";"24.0";"13.0";"0.62";"8.0";"1.25";"31.3";"9988.39";"110.98";"1212.05";"663.46";"83.74";"449.82";"21.47";"1113.28";"105.21";"120.24";"15.03";"89.11";"25.77";"13.96";"8.59"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"16";"KV Mechelen v KAA Gent";"2002125";"2025-02-07";"BEL - Pro League";"16";"2024/2025";"95";"873";"CF";"Center Forward";"70.78";"True";"8158.0";"115.25";"979.0";"528.0";"67.0";"326.0";"16.0";"854.0";"83.0";"103.0";"10.0";"82.0";"20.0";"8.0";"0.7";"3.0";"1.58";"30.8";"10372.78";"115.25";"1244.78";"671.34";"85.19";"414.5";"20.34";"1085.85";"105.53";"130.96";"12.71";"104.26";"25.43";"10.17";"3.81"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"16";"Royale Union Saint-Gilloise v KV Mechelen";"2003485";"2025-02-16";"BEL - Pro League";"16";"2024/2025";"95";"873";"CF";"Center Forward";"84.13";"True";"9723.0";"115.57";"1397.0";"680.0";"70.0";"318.0";"17.0";"998.0";"87.0";"98.0";"12.0";"71.0";"27.0";"8.0";"0.7";"2.0";"1.4";"29.4";"10400.99";"115.57";"1494.41";"727.42";"74.88";"340.17";"18.19";"1067.59";"93.07";"104.83";"12.84";"75.95";"28.88";"8.56";"2.14"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"16";"KV Mechelen v Sint-Truidense VV";"2004046";"2025-02-21";"BEL - Pro League";"16";"2024/2025";"95";"873";"CF";"Center Forward";"83.03";"True";"9382.0";"112.99";"1168.0";"628.0";"80.0";"316.0";"21.0";"944.0";"101.0";"100.0";"12.0";"84.0";"22.0";"10.0";"0.58";"6.0";"1.17";"30.1";"10169.17";"112.99";"1266.0";"680.69";"86.71";"342.51";"22.76";"1023.2";"109.47";"108.39";"13.01";"91.05";"23.85";"10.84";"6.5"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"16";"KV Mechelen v FCV Dender EH";"2007847";"2025-03-16";"BEL - Pro League";"16";"2024/2025";"95";"873";"CF";"Center Forward";"81.45";"True";"8661.0";"106.34";"1022.0";"603.0";"70.0";"365.0";"17.0";"968.0";"87.0";"88.0";"11.0";"63.0";"26.0";"9.0";"0.67";"2.0";"1.45";"30.1";"9570.17";"106.34";"1129.28";"666.3";"77.35";"403.31";"18.78";"1069.61";"96.13";"97.24";"12.15";"69.61";"28.73";"9.94";"2.21"
